140_PP 140_485 CC,Center,Type,Revice Date(RD),FP Notice Date,Days from RD to FP Notice Date,,FP Date,Walk in?,Location,AP_EAD AD,Days from RD to AP_EAD AD,485 AD,Days from RD,Days from FP Date to 485 AD,Days from RD to 485 AD
"PP, non CC",NSC,EB1B,4/25/17,,,,,,,,,,,,
"PP, non CC",NSC,EB1B,4/25/17,,,,,,,,,,,,
"PP, non CC",NSC,EB1B,4/3/17,5/22/17,,,5/18/17,Yes,CA,,,,,,
"pp, non CC",NSC,EB1B,3/27/17,,,,,,,,,,,,
"pp, non CC",NSC,EB1B,3/27/17,,,,,,,,,,,,
"PP, non CC",NSC,EB1A,3/20/17,4/14/17,25,,5/3/17,,,,,,,,
"PP, non CC",NSC,EB1A,3/20/17,,,,,,,,,,,,
"PP, non CC",NSC,EB1A,1/18/17,2/26/17,39,,3/14/17,No,CA,3/2/17,43,Blessing,127,,
"PP, non CC",NSC,EB1A,1/18/17,3/3/17,44,,3/13/17,,MI,3/27/17,68,,127,,
"PP, non CC",NSC,EB1A,1/18/17,3/3/17,44,,3/13/17,,MI,3/27/17,68,,127,,
"PP, non CC",NSC,EB1B,1/13/17,2/27/17,44,,3/3/17,Yes,CA,3/2/17,48,,132,,
"PP, non CC",NSC,EB1A,12/22/16,2/12/17,52,,2/28/17,No,NJ,3/3/17,69,Blessing,154,,
"PP, non CC",NSC,EB1A,12/22/16,1/28/17,37,,2/15/17,No,NJ,2/14/17,54,Blessing,154,,
"PP, non CC",NSC,EB1B,12/22/16,,,,,,CA,,,Blessing,154,,
"PP, non CC",NSC,EB1B,12/22/16,2/26/17,66,,2/28/17,Yes,CA,,,Blessing,154,,
"PP, non CC",NSC,EB1A,12/20/16,2/10/17,52,,2/21/17,No,CA,,,Blessing,156,,
"PP, non CC",NSC,EB1A,12/20/16,2/5/17,47,,2/24/17,no,CA,3/1/17,71,Blessing,156,,
"PP, non CC",NSC,EB1A,12/20/16,2/5/17,47,,2/24/17,no,CA,3/1/17,71,Blessing,156,,
"PP, non CC",NSC,EB1A,12/1/16,1/1/17,31,1/18/17,1/10/17,Yes,CA,2/3/17,64,Blessing,175,,
"PP, non CC",NSC,EB1A,11/23/16,12/24/16,32,1/13/17,1/10/17,Yes,CA,1/17/17,55,5/8/16,183,,
"non PP, non CC",NSC,EB1A,11/16/16,,,,,,WA,,,Blessing,,,
"PP, non CC",NSC,EB1A,11/14/16,12/17/16,,1/6/17,12/28/16,Yes,AZ,12/30/16,46,Blessing,192,,
"PP, non CC",NSC,EB1A,11/14/16,12/26/16,42,1/6/17,1/6/17,No,CA,1/17/17,64,Blessing,192,,
"PP, non CC",NSC,EB1A,11/14/16,12/26/16,42,1/6/17,1/6/17,No,CA,1/17/17,64,Blessing,192,,
"PP, non CC",NSC,EB1B,11/14/16,12/25/16,41,1/12/17,1/10/17,Yes,CA,1/9/17,56,Blessing,192,,
"PP, non CC",NSC,EB1B,11/14/16,12/26/16,42,1/10/17,1/10/17,No,CA,1/10/17,57,Blessing,192,,
"PP, non CC",NSC,EB1B,11/14/16,12/26/16,42,1/10/17,1/10/17,No,CA,2/1/17,79,Blessing,192,,
"PP, non CC",NSC,EB1a,11/13/16,12/10/16,27,12/28/16,12/28/16,No,IL,2/1/17,90,Blessing,150,,
"PP, non CC",NSC,EB1a,11/13/16,12/10/16,27,12/28/16,12/28/16,No,IL,2/1/17,90,Blessing,150,,
"PP, non CC",NSC,EB1a,11/2/16,12/17/16,45,12/27/16,,,,,60,Blessing,161,,
"PP, non CC",NSC,EB1a,11/2/16,12/2/16,30,12/16/16,12/16/16,No,CA,,,Blessing,161,,
,NSC,EB1A,10/20/16,11/25/16,36,12/6/16,,,,,104,Blessing,105,,
"PP, non CC",NSC,EB1A,10/19/16,11/19/16,30,,11/28/16,Yes,CA,1/30/17,80,Blessing,124,,
"PP, NON CC",NSC,EB1B,10/19/16,12/8/16,50,,12/13/16,Yes,CA,1/20/17,93,Blessing,,,
"PP, non CC",NSC,EB1B,10/12/16,11/18/16,37,12/8/16,12/8/16,No,NE,12/12/16,61,3/22/17,161,,
"PP, non CC",NSC,EB1B,10/12/16,11/18/16,37,12/8/16,12/8/16,No,NE,12/12/16,61,3/22/17,161,,
"pp,non CC",NSC,EB1A,10/11/16,11/28/16,48,12/16/16,12/8/16,Yes,CA,1/19/17,100,Blessing,,,
"PP, non CC",NSC,EB1A,10/6/16,11/9/16,33,11/21/16,11/14/16,Yes,IL,12/12/16,67,12/15/16,70,,
"PP, non CC",NSC,EB1A,10/6/16,11/9/16,33,11/21/16,11/14/16,Yes,IL,12/12/16,67,12/15/16,70,,
"PP, non CC",NSC,EB1A,10/4/16,11/5/16,32,11/22/16,11/15/16,Yes,NY,12/16/16,73,Blessing,233,,
"PP, non CC",NSC,EB1A,10/4/16,11/5/16,32,11/22/16,11/15/16,Yes,NY,12/12/16,69,Blessing,233,,
"non PP, non CC",NSC,EB1A,10/3/16,11/3/16,30,11/14/16,11/14/16,No,NY,11/8/16,35,Blessing,234,,
"PP, non CC",NSC,EB1B,10/3/16,11/4/16,30,11/7/16,11/7/16,Yes,NY,11/8/16,34,Blessing,234,,
"PP, non CC",NSC,EB1B,10/3/16,11/4/16,30,11/7/16,11/7/16,Yes,NY,1/10/17,41,Blessing,234,,
"PP, non CC",NSC,EB1A,7/28/16,,,,,,,,,Blessing,301,,
"PP, non CC",NSC,EB1A,7/28/16,8/27/16,30,9/12/16,9/2/16,Yes,CA,9/13/16,47,Blessing,301,,
"PP, non CC",NSC,EB1A,7/28/16,8/27/16,30,9/12/16,9/2/16,Yes,CA,9/13/16,47,,187,,
"PP, non CC",NSC,EB1B,7/28/16,8/27/16,30,9/12/16,9/12/16,No,NJ,9/13/16,47,1/31/17,187,,
"PP, non CC",NSC,EB1B,7/28/16,8/27/16,30,9/12/16,9/12/16,No,NJ,9/13/16,47,1/31/17,301,,
PP,NSC,EB1B,7/28/16,8/11/16,14,9/1/16,9/1/16,No,NY,8/31/16,34,Blessing,301,,
PP,NSC,EB1B,7/27/16,8/11/16,15,9/1/16,9/1/16,No,NY,8/24/16,#REF!,Blessing,#REF!,,
"PP, non CC",NSC,EB1B,7/27/16,8/27/16,31,9/16/16,9/16/16,No,PA,9/6/16,41,Blessing,302,,
"non PP, non CC",NSC,EB1B,7/26/16,9/10/16,46,9/23/16,9/23/16,Yes,CA,9/16/16,52,5/16/17,294,,
"PP, non CC",NSC,EB1A,7/26/16,8/27/16,32,9/15/16,9/14/16,No,NV,9/6/16,42,Blessing,303,,
"PP, non CC",NSC,EB1A,7/26/16,8/27/16,32,9/14/16,9/14/16,No,NV,9/6/16,42,Blessing,303,,
PP. nonCC,NSC,EB1B,7/26/16,9/3/16,,9/23/16,9/23/16,No,CA,9/26/16,,Blessing,,,
"PP, non CC",NSC,EB1B,7/26/16,8/18/16,23,9/2/16,8/23/16,Yes,CA,8/31/16,36,Blessing,303,,
"non PP, non CC",NSC,EB1B,7/25/16,8/27/16,33,9/12/16,8/30/16,Yes,CA,9/13/16,50,1/23/17,182,,
"non PP, non CC",NSC,EB1B,7/25/16,8/27/16,33,9/12/16,8/31/16,Yes,CA,9/16/16,53,1/23/17,182,,
"PP, non CC",NSC,EB1B,7/22/16,8/27/16,36,9/13/16,9/13/16,NO,CA,11/4/16,105,2/3/17,196,,
"PP, non CC",NSC,EB1B,7/22/16,8/13/16,22,8/30/16,8/30/16,NO,OH,8/24/16,33,Blessing,307,,
"PP, non CC",NSC,EB1B,7/22/16,8/13/16,22,8/30/16,8/30/16,NO,OH,9/6/16,46,Blessing,307,,
"PP, non CC",NSC,EB1B,7/22/16,,,9/1/16,9/1/16,NO,NY,9/24/16,64,Blessing,64,,
"non pp, cc",TSC->NSC,EB1A,7/21/16,8/13/16,23,9/2/16,9/2/16,NO,OH,9/6/16,47,Blessing,308,,
